CT_ID_10,total_pop,num_white,pct_white,num_black,pct_black,num_ai,pct_ai,num_asian,pct_asian,num_asianind,pct_asianind,num_latino,pct_latino,total_h_units
25025080401,3129,498,15.9,1717,54.9,0,0,50,1.6,23,0.7,1265,40.4,1396
25025080500,3195,647,20.3,1431,44.8,0,0,66,2.1,0,0,1510,47.3,1424
25025080601,4524,2131,47.1,1280,28.3,23,0.5,724,16,151,3.3,638,14.1,950
25025080801,4298,1778,41.4,1262,29.4,0,0,421,9.8,243,5.7,1523,35.4,999
25025080900,3727,2551,68.4,287,7.7,27,0.7,766,20.6,277,7.4,177,4.7,1587
25025081001,4792,1766,36.9,976,20.4,0,0,1264,26.4,253,5.3,866,18.1,2255
25025081100,4156,2321,55.8,644,15.5,0,0,639,15.4,170,4.1,779,18.7,1693
25025081200,3416,1175,34.4,798,23.4,0,0,136,4,33,1,1813,53.1,1370
25025081300,5300,1106,20.9,2103,39.7,14,0.3,129,2.4,0,0,2214,41.8,2232
25025081400,2754,1009,36.6,1227,44.6,0,0,180,6.5,29,1.1,419,15.2,1415
25025081500,2242,346,15.4,1356,60.5,0,0,29,1.3,9,0.4,666,29.7,980
25025081700,3404,260,7.6,2526,74.2,0,0,157,4.6,124,3.6,539,15.8,1759
25025081800,3738,113,3,3025,80.9,0,0,0,0,0,0,1128,30.2,1549
25025081900,3350,424,12.7,2393,71.4,0,0,23,0.7,23,0.7,998,29.8,1510
25025082000,2825,276,9.8,2362,83.6,0,0,19,0.7,0,0,401,14.2,1359
25025082100,5245,447,8.5,3308,63.1,0,0,96,1.8,0,0,1779,33.9,2251
25025090100,4872,394,8.1,3504,71.9,0,0,40,0.8,40,0.8,1346,27.6,2012
25025090200,2481,181,7.3,1311,52.8,0,0,18,0.7,0,0,997,40.2,859
25025090300,3559,177,5,2473,69.5,0,0,0,0,0,0,1113,31.3,1362
25025090400,4198,436,10.4,2884,68.7,0,0,104,2.5,104,2.5,1561,37.2,1380
25025090600,2581,264,10.2,1720,66.6,41,1.6,73,2.8,62,2.4,507,19.6,863
25025090700,4549,2679,58.9,194,4.3,31,0.7,713,15.7,46,1,804,17.7,2007
25025090901,3918,1402,35.8,542,13.8,42,1.1,1219,31.1,337,8.6,939,24,1590
25025091001,3232,1930,59.7,478,14.8,0,0,785,24.3,0,0,79,2.4,1399
25025091100,5318,3026,56.9,285,5.4,4,0.1,1410,26.5,52,1,342,6.4,2001
25025091200,3147,1198,38.1,950,30.2,74,2.4,180,5.7,0,0,553,17.6,1316
25025091300,2696,488,18.1,1322,49,0,0,79,2.9,0,0,723,26.8,923
25025091400,2952,449,15.2,1400,47.4,23,0.8,24,0.8,0,0,1010,34.2,1013
25025091500,4873,628,12.9,1918,39.4,0,0,347,7.1,36,0.7,1029,21.1,1800
25025091600,3401,532,15.6,1503,44.2,0,0,938,27.6,0,0,617,18.1,1214
25025091700,3315,427,12.9,2010,60.6,5,0.2,237,7.1,81,2.4,882,26.6,1130
25025091800,3825,334,8.7,2303,60.2,0,0,7,0.2,0,0,569,14.9,1274
25025091900,4018,348,8.7,3153,78.5,0,0,43,1.1,0,0,819,20.4,1451
25025092000,5294,872,16.5,3061,57.8,21,0.4,455,8.6,0,0,1473,27.8,1819
25025092101,6750,2493,36.9,1552,23,0,0,2296,34,177,2.6,493,7.3,2514
25025092200,3216,1019,31.7,1369,42.6,0,0,556,17.3,103,3.2,383,11.9,1226
25025092300,3383,327,9.7,2763,81.7,19,0.6,17,0.5,16,0.5,579,17.1,1173
25025092400,5817,551,9.5,4877,83.8,136,2.3,0,0,0,0,1946,33.5,2184
25025100100,6072,887,14.6,4685,77.2,0,0,44,0.7,29,0.5,1663,27.4,2167
25025100200,2919,152,5.2,2381,81.6,0,0,87,3,0,0,391,13.4,1029
25025100300,3731,227,6.1,3319,89,0,0,116,3.1,0,0,500,13.4,1343
25025100400,5596,606,10.8,3845,68.7,217,3.9,242,4.3,15,0.3,735,13.1,1954
25025100500,7350,1444,19.6,4879,66.4,31,0.4,741,10.1,1,0,925,12.6,2498
25025100601,5626,1881,33.4,2462,43.8,0,0,654,11.6,0,0,470,8.4,2273
25025100603,2070,1645,79.5,297,14.3,0,0,103,5,0,0,78,3.8,919
25025100700,4473,4054,90.6,213,4.8,0,0,128,2.9,0,0,109,2.4,2061
25025100800,6409,3255,50.8,2027,31.6,0,0,911,14.2,0,0,314,4.9,2844
25025100900,4258,1132,26.6,2554,60,213,5,248,5.8,25,0.6,348,8.2,1811
25025101001,6856,375,5.5,6347,92.6,0,0,0,0,0,0,878,12.8,2390
25025101002,5307,652,12.3,4348,81.9,19,0.4,4,0.1,0,0,1272,24,2329
25025101101,3721,83,2.2,3393,91.2,0,0,70,1.9,0,0,796,21.4,1175
25025101102,5099,459,9,4395,86.2,0,0,85,1.7,0,0,694,13.6,1739
25025110103,6547,3665,56,1504,23,0,0,454,6.9,0,0,1679,25.6,2470
25025110201,2476,757,30.6,1273,51.4,12,0.5,0,0,0,0,726,29.3,944
25025110301,2712,1290,47.6,974,35.9,31,1.1,26,1,0,0,746,27.5,1017
25025110401,3873,1997,51.6,1261,32.6,158,4.1,87,2.2,0,0,1322,34.1,1461
25025110403,4590,2577,56.1,1268,27.6,7,0.2,116,2.5,48,1,1242,27.1,1838
25025110501,3590,2886,80.4,206,5.7,0,0,35,1,23,0.6,571,15.9,1468
25025110502,4670,3221,69,802,17.2,119,2.5,8,0.2,0,0,1157,24.8,1846
25025110601,2834,2506,88.4,114,4,0,0,139,4.9,0,0,158,5.6,1309
25025110607,5277,4447,84.3,405,7.7,0,0,248,4.7,128,2.4,401,7.6,2324
25025120103,1661,1423,85.7,50,3,0,0,87,5.2,19,1.1,85,5.1,706
25025120104,2295,1779,77.5,177,7.7,0,0,100,4.4,0,0,447,19.5,1144
25025120105,2719,2169,79.8,146,5.4,0,0,176,6.5,5,0.2,185,6.8,990
25025120201,3638,2573,70.7,303,8.3,41,1.1,33,0.9,10,0.3,1320,36.3,1847
25025120301,4813,2475,51.4,820,17,0,0,321,6.7,7,0.1,1596,33.2,2018
25025120400,6757,5180,76.7,565,8.4,0,0,390,5.8,0,0,702,10.4,2884
25025120500,2665,1214,45.6,511,19.2,0,0,176,6.6,43,1.6,1230,46.2,992
25025120600,2407,1994,82.8,167,6.9,0,0,88,3.7,10,0.4,173,7.2,1086
25025120700,2205,1416,64.2,157,7.1,44,2,297,13.5,62,2.8,452,20.5,1110
25025130100,6551,5698,87,70,1.1,0,0,505,7.7,157,2.4,299,4.6,2964
25025130200,5016,4421,88.1,98,2,0,0,298,5.9,52,1,107,2.1,1976
25025130300,4590,4159,90.6,97,2.1,0,0,107,2.3,0,0,236,5.1,1841
25025130402,5041,4380,86.9,124,2.5,0,0,468,9.3,66,1.3,589,11.7,2290
25025130404,3209,2307,71.9,220,6.9,0,0,380,11.8,81,2.5,588,18.3,1403
